Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio,Heart Rate (bpm)
2025-03-06 14:32:58.00,2025-03-06 14:32:58.00,1091.533751010895,53.367645,-1.501992,3.299744471320566,105.8034688625485,3,3541.809957719715,6.076347452320896,1.822420185427413,166.6359671318027,238.0824279785156,237.6681213378906,10,-20.24864879126678,0
2025-03-06 14:33:00.00,2025-03-06 14:33:00.00,1093.534000039101,53.367507,-1.502040,3.169662922616032,105.4214217821136,3,3557.583076533998,6.766944523408034,6.030264276293974,190.5593743562436,238.0824279785156,237.6681213378906,10,-24.59247333071884,0
2025-03-06 14:33:02.00,2025-03-06 14:33:02.00,1095.534186005592,53.367413,-1.502221,2.870178816315093,106.3004647959024,3,3573.492371559808,8.457843972607417,8.753311778420279,233.7491046842227,238.0824279785156,237.6681213378906,10,-29.29980656600971,0
2025-03-06 14:33:04.00,2025-03-06 14:33:04.00,1097.538556098938,53.367364,-1.502479,2.623348082278467,106.8546955082566,3,3591.517963139808,9.414633402626301,8.336815506100988,245.4819372952093,238.0824279785156,237.6681213378906,10,-58.87273324749191,0
2025-03-06 14:33:06.00,2025-03-06 14:33:06.00,1099.535472035408,53.367307,-1.502749,2.528964643868464,107.3590816203505,3,3610.589153005533,9.774375404655649,9.195142509895803,247.3591922255493,238.0824279785156,237.6681213378906,10,-225.7833115369227,0
2025-03-06 14:33:08.00,2025-03-06 14:33:08.00,1101.538119077682,53.367244,-1.503040,2.642653156044175,108.6258328408003,3,3631.158377943971,10.56551396992024,9.666675737742146,249.6765783945652,238.0824279785156,237.6681213378906,10,287.4415952365656,0
2025-03-06 14:33:09.00,2025-03-06 14:33:09.00,1102.538084983826,53.367205,-1.503185,2.592665832265737,109.6957182558253,3,3641.759135949349,10.97039864370705,10.53949675475025,259.532958984375,238.0824279785156,237.6681213378906,10,99.82147467224986,0
2025-03-06 14:33:10.00,2025-03-06 14:33:10.00,1103.538124084473,53.367144,-1.503316,2.65174176940583,110.5699644135311,3,3652.844700312581,10.93048520730404,10.53949675475025,249.5807037353516,238.0824279785156,237.6681213378906,10,60.08550682999642,0
2025-03-06 14:33:11.00,2025-03-06 14:33:11.00,1104.537972092628,53.367112,-1.503475,2.730330251046917,111.045334787108,3,3664.01637550381,11.00554310391971,10.92803407420206,251.9441528320312,238.0824279785156,237.6681213378906,10,43.0318755448149,0
2025-03-06 14:33:12.00,2025-03-06 14:33:12.00,1105.537896037102,53.367085,-1.503629,2.943308250998643,112.1184199182317,3,3674.728540028015,10.91265707367358,10.92803407420206,253.1171722412109,238.0824279785156,237.6681213378906,10,35.2729086301668,0
2025-03-06 14:33:13.00,2025-03-06 14:33:13.00,1106.538179993629,53.367082,-1.503802,2.853568864251009,112.4010025262833,3,3686.232135666889,11.00300413777794,10.86950340841097,251.7647073878492,238.0824279785156,237.6681213378906,10,30.49136057791396,0
2025-03-06 14:33:14.00,2025-03-06 14:33:14.00,1107.538694024086,53.367051,-1.503959,2.719754076542804,112.8468367382884,3,3697.275228048757,11.11373216608856,10.86950340841097,251.6783648157107,238.0824279785156,237.6681213378906,10,26.96527182751521,0
2025-03-06 14:33:15.00,2025-03-06 14:33:15.00,1108.538686037064,53.367016,-1.504116,2.839973621805227,113.3266337765381,3,3708.388981891942,11.17477874854653,11.1032344525415,251.1531139507419,238.0824279785156,237.6681213378906,10,23.08399306639421,0
2025-03-06 14:33:15.99,2025-03-06 14:33:15.99,1109.538170099258,53.366989,-1.504273,2.871780277136829,114.009204830043,3,3719.249795682736,11.19738874459404,11.1032344525415,251.8411874445386,238.0824279785156,237.6681213378906,10,21.29625624722745,0
2025-03-06 14:33:16.99,2025-03-06 14:33:16.99,1110.538102984428,53.366940,-1.504421,2.90815466918342,114.5911697074771,3,3730.556966601827,11.21142388995091,11.07057540119451,252.9795684814453,238.0824279785156,237.6681213378906,10,20.29614780181535,0
2025-03-06 14:33:17.99,2025-03-06 14:33:17.99,1111.538330078125,53.366912,-1.504569,2.876569385861521,115.658126655966,3,3740.812635332416,10.80240269526687,11.07057540119451,252.6791839599609,238.0824279785156,237.6681213378906,10,19.54937691853765,0
2025-03-06 14:33:18.99,2025-03-06 14:33:18.99,1112.538071036339,53.366885,-1.504718,2.772974491713518,116.672163290903,3,3751.210348626086,10.47158621048378,10.64671297707514,252.6791839599609,238.0824279785156,237.6681213378906,10,18.97284921835195,0
2025-03-06 14:33:20.99,2025-03-06 14:33:20.99,1114.53824198246,53.366830,-1.505002,2.874646319232232,117.1140103982762,3,3771.125000632918,10.00492887780232,9.974183442252713,252.160888671875,238.0824279785156,237.6681213378906,10,16.87525720082486,0
2025-03-06 14:33:22.99,2025-03-06 14:33:22.99,1116.536301016808,53.366773,-1.505289,2.573977778525896,117.213164255023,3,3791.208968883304,9.134750801138171,9.479074866711116,250.2481231689453,238.0824279785156,237.6681213378906,10,16.74169897602351,0
2025-03-06 14:33:24.99,2025-03-06 14:33:24.99,1118.536782026291,53.366741,-1.505494,2.550701423549301,117.8263151003048,3,3805.304504275637,7.331804931121397,7.818442821592616,250.2481231689453,238.0824279785156,237.6681213378906,10,17.55242286041917,0
2025-03-06 14:33:26.99,2025-03-06 14:33:26.99,1120.536913990974,53.366690,-1.505654,3.185369647989896,117.7116781771183,3,3817.372106436786,5.83343705299157,6.835260216089691,248.8411560058594,238.0824279785156,237.6681213378906,10,19.38047542884925,0
2025-03-06 14:33:28.99,2025-03-06 14:33:28.99,1122.536547064781,53.366656,-1.505808,3.27361265789908,118.4233104642481,3,3828.345363856798,6.039287728114822,5.564025795488742,248.8411560058594,238.0824279785156,237.6681213378906,10,22.15093733559167,0
2025-03-06 14:33:31.00,2025-03-06 14:33:31.00,1124.536580085754,53.366736,-1.506012,3.09012469493255,118.3306981101632,3,3844.546227574167,5.905222670971335,5.720876351415424,285.2499359324517,238.0824279785156,237.6681213378906,10,23.23531947035936,0
2025-03-06 14:33:34.00,2025-03-06 14:33:34.00,1127.536556005478,53.366761,-1.506216,3.372310613804764,117.5452068960294,3,3858.423909226717,4.179575963811686,6.100715472476331,278.0577171082723,238.0824279785156,237.6681213378906,10,34.43662350084939,0
2025-03-06 14:33:37.00,2025-03-06 14:33:37.00,1130.539530038834,53.366762,-1.506451,3.588695377349461,117.8342837877572,3,3874.027018000075,5.019762488445862,4.997397928707334,271.2353820800781,238.0824279785156,237.6681213378906,10,128.5272367981321,0
2025-03-06 14:33:40.00,2025-03-06 14:33:40.00,1133.539135098457,53.366770,-1.506637,3.450099349083843,117.4139027614146,3,3886.456297238533,3.03830734677283,4.842630959238305,271.2353820800781,238.0824279785156,237.6681213378906,10,270.5209339426652,0
2025-03-06 14:34:27.00,2025-03-06 14:34:27.00,1180.538396000862,53.366840,-1.506514,5.659991684182258,116.7905744528398,4.657105837765234,3897.727998781665,0.1241804606538694,0.8390093024054105,276.7990496299116,238.0824279785156,237.6681213378906,10,-30.89064255117833,0
2025-03-06 14:34:35.00,2025-03-06 14:34:35.00,1188.541217088699,53.366829,-1.506343,4.729403090463689,116.3071653945372,3.975241918186314,3909.168281242217,0.1418821989110821,1.473395342490304,237.9556864585105,238.0824279785156,237.6681213378906,10,-23.13072771731172,0
2025-03-06 14:34:42.00,2025-03-06 14:34:42.00,1195.541418075562,53.366825,-1.506185,4.088199741273466,116.8727281149477,3.288821789402726,3919.686972092309,0.1176519623631236,1.354111954860332,235.3667578099278,238.0824279785156,237.6681213378906,10,-42.78504982484176,0
